"cff = 1.4, order = 1, 2024-03-06 16:54:03.596606"
E,FWHM,Bandwidth,Flux,Intensity
100,0.024387954857274963,0.0005457009071980678,1129434000.936541,205.17095618934013
200,0.07116171605304089,0.0006520226862636491,3354355657.03245,263.11341200265457
300,0.1276529039947718,0.0008519736286029911,5847224359.617888,225.49737606454707
400,0.19624911890332442,0.000980599919745373,6253744044.925097,143.09501665454428
500,0.25868724204497084,0.0011366090183003053,13040182419.663403,202.3209585457974
600,0.3432083066729774,0.001233711922554903,22128634167.2417,271.53319777920757
700,0.43315525083812645,0.001249250790287988,31802024140.25781,343.38836138284495
800,0.5772696802796418,0.0014268214516096123,41195188229.758125,356.77337948620385
900,0.6145687548118985,0.0014026054656329102,53451909896.00757,435.14858375351554
1000,0.7662765043471609,0.0014389050575828151,52458293532.23351,388.606095833123
1100,0.8518924161387531,0.001610826476367451,55696360058.14629,351.00281885102964
1200,0.9024992856047902,0.001518660747899503,54450740206.3645,365.9885298958606
1300,1.017731334210339,0.001519696624426825,52278868935.69756,372.40857761997904
1400,1.2121524943540862,0.0017712479923388206,47710727797.25093,311.749050848525
1500,1.419336065526295,0.0017896652930260947,44596580609.9401,298.6209230850545
1600,1.4767967441002838,0.0018248907732595398,45719678425.32121,287.2637838431508
1700,1.525200977892382,0.0017624444390907336,48600086111.66496,287.5450652894456
1800,1.8401984859526692,0.0020120385963559783,50818099686.75449,245.38319279249555
1900,1.9008557708398257,0.0020026249383686503,46567692290.01048,228.2113466554859
2000,1.9872497247902174,0.0018816298108379214,36217045216.54284,214.67349767991627
2100,2.0272668984275697,0.0019558707743271954,14978547369.46306,117.98200128989724
2200,2.4199255470653043,0.0021020901127220977,4591759627.079747,67.17817686049908
2300,2.441520601712,0.002146585617679786,3830812989.7909207,79.03278127759467
2400,2.5705389890190418,0.0022303963648096213,4416999722.553961,82.54632211785145
2500,2.7494811476381074,0.0021893366017950028,4828962497.53927,84.45856793394186
2600,2.982881591289697,0.002305437994290724,4291198520.888142,69.89508463822153
2700,3.0522365978854396,0.0022456752607754255,3587741126.7379932,62.59654535792733
2800,3.285497145449881,0.0023805419128049314,2941391650.455446,48.817581440452706
2900,3.347713870532516,0.0023907955606221644,1700774070.0209835,26.590177583845474
3000,3.557287868223284,0.00243717220869803,100849602.19748445,1.500451142895779
