"cff = 1.4, order = 1, 2024-03-07 11:12:43.585088"
E,FWHM,Bandwidth,Flux,Intensity
101,0.027779345146853984,0.0004972273721718785,30658050642.218987,3480.771946588417,3480.771946588417
201,0.0697172412172904,0.0006591524261199508,69844336342.69284,4199.351656530417,4199.351656530417
301,0.12357677110389886,0.0007919255117055016,79289588200.80573,2902.4023266697714,2902.4023266697714
401,0.1962490983927978,0.0009781544497329442,72058480657.05573,1564.6250651575438,1564.6250651575438
501,0.2683921283048676,0.001130425130979407,128245817655.06346,2045.5111947878345,2045.5111947878345
601,0.3548712987565068,0.0012316591717864017,182595050404.54623,2500.1639316939645,2500.1639316939645
701,0.47053817272353626,0.0012995668519922509,227541073555.29364,2874.3993968877844,2874.3993968877844
801,0.5719475620861658,0.0013814480521372804,259380003497.17496,3159.7464748168704,3159.7464748168704
901,0.6481666815664084,0.0014498836595045984,272073238641.8325,3350.082182666996,3350.082182666996
1001,0.7340305452653411,0.0014843876547211102,226089178333.17975,3030.42018763018,3030.42018763018
1101,0.8517319667816992,0.001609060390134431,199688779772.29648,2903.848328658726,2903.848328658726
1201,0.9276892596544712,0.0015318344874187572,160769632792.9967,3074.1534374739645,3074.1534374739645
1301,1.068431221829087,0.001626994827664896,132429042918.01294,3052.5815063104897,3052.5815063104897
1401,1.2048845718745724,0.0016207091871706081,105278027871.64693,3065.6650295079753,3065.6650295079753
1501,1.2704019859629625,0.001828365567028248,81622929593.9366,2732.34110600739,2732.34110600739
1601,1.4098443898401456,0.0018256875277203254,58870799791.51704,2727.6611771594276,2727.6611771594276
1701,1.582160689552211,0.001794853923686064,34336864968.38263,2746.6773583182726,2746.6773583182726
1801,1.8401062424002248,0.002010820490170665,15266906457.46834,2439.870335408196,2439.870335408196
1901,1.9054119900788464,0.0018843144736943685,5014813591.188474,2491.9125639811173,2491.9125639811173
2001,1.9872496940181463,0.0018806894216834842,1874619726.4338965,2216.708543185814,2216.708543185814
2101,2.0272667637818813,0.001954939722150939,2536088671.6846766,1234.915914336638,1234.915914336638
2201,2.2719570858826046,0.0021296571985926966,9720470817.121054,713.9216055613402,713.9216055613402
2301,2.5694892551177873,0.0022648658737902203,8777504233.325417,847.4265770970417,847.4265770970417
2401,2.629427335611581,0.0019825599955190544,10291357184.765291,1045.753253737994,1045.753253737994
2501,2.749481190791812,0.002188461203703479,12525504885.415186,966.8100753534034,966.8100753534034
2601,2.941634668372899,0.0022860106787180377,12865018833.33596,823.821456450124,823.821456450124
2701,3.297445923099076,0.002333271279489608,13116327976.58491,719.4140771526622,719.4140771526622
2801,3.1813774708771234,0.0022471118666968887,13072118329.342333,634.002069644174,634.002069644174
2901,3.4447483609801566,0.002434650470945324,7605270774.510217,316.9429684279791,316.9429684279791
3001,3.5572876330306826,0.0024363599455074613,458677361.8000182,18.298663651982398,18.298663651982398
